INE_ID,candidate_name,party,year
704,Luis Mariano Fitas Rodrigues Guimarães,B.E.,2009
704,Luis Maria de Brito Tavares Assis e Santos,CDS-PP,2009
704,Luis Filipe Pereira Mourinha,II,2009
704,Jorge Manuel de Oliveira Pinto,PCP-PEV,2009
704,António José Borralho Ramalho,PPD/PSD,2009
704,José Alberto Leal Fateixa Palmeiro,PS,2009
705,José Miguel de Andrade Sampaio Ferreira,B.E.,2009
705,Luis da Silva Madeira,CDS-PP,2009
705,Eduardo Jorge Pratas Fernades Luciano,PCP-PEV,2009
705,António José Costa Romenos Dieb,PPD/PSD,2009
705,José Ernesto Ildefonso Leão d' Oliveira,PS,2009
706,Carlos Manuel Rodrigues Pinto de Sá,PCP-PEV,2009
706,Maria de Lurdes Pascoal Reis Vacas de Carvalho,PPD/PSD,2009
706,Rogério António Pinto,PS,2009
707,Fernando Manuel da Cunha Costa,B.E.,2009
707,Luis Simão Duarte de Matos,PCP-PEV,2009
707,José Manuel da Silva Matos,PPD/PSD,2009
707,António José Catarro Simões,PS,2009
708,Pedro Miguel Pires Dias,PCP-PEV,2009
708,Joaquim Maria Dias Gonçalves,PPD/PSD.CDS-PP,2009
708,José Manuel Santinha Lopes,PS,2009
708,Manuel Inácio da Cruz Rosado,XVIII,2009
709,Rui Miguel Pateiro Saias,CDS-PP,2009
709,Manuel Luis Pinto Fonseca,PCP-PEV,2009
709,Norberto António Lopes Patinho,PS,2009
710,Alfredo Falamino Barroso,III,2009
710,Vitor Manuel Martins Gonçalves Tomás,PCP-PEV,2009
710,João Gonçalves Morais Tristão,PPD/PSD,2009
710,José Lopes Cortes Verdasca,PS,2009
711,Rui Paulo Ramalho Amendoeira,PCP-PEV,2009
711,Francisco Filipe Sousa Zambujinho,PPD/PSD.CDS-PP,2009
711,José Gabriel Paixão Calixto,PS,2009
712,José Maria Rodrigues Figueira,PCP-PEV,2009
712,Luis Filipe Campos Braga,PPD/PSD,2009
712,João Luis Telha da Silva,PS,2009
713,Hernâni José Martins Galvão,B.E.,2009
713,Estevão Manuel Machado Pereira,PCP-PEV,2009
713,Fernando Augusto Sampaio Monteiro de Brito e Silva,PPD/PSD,2009
713,Bernardino António Bengalinha Pinto,PS,2009
714,João Miguel Letras Mestre,CDS-PP,2009
714,Manuel João Fontainhas Condenado,PCP-PEV,2009
714,José Joaquim Palma Rita,PPD/PSD,2009
714,Luis Filipe Braguêz Caldeirinha Roma,PS,2009
801,Manuel José da Conceição Aires,B.E.,2009
801,Alexandre Manuel Azevedo de Freitas,CDS-PP,2009
801,Fernando José Pontes,PCP-PEV,2009
801,Desidério Jorge da Silva,PPD/PSD,2009
801,David Martins,PS,2009
802,Maria Luísa Fernandes,PCP-PEV,2009
802,Francisco Augusto Caimoto Amaral,PPD/PSD,2009
802,José D'Assunção Pereira Galrito,PS,2009
803,Francisco dos Santos Sérgio,PCP-PEV,2009
803,Rosa Maria dos Santos Cigarra Rocha,PPD/PSD,2009
803,José Manuel Velhinho Amarelinho,PS,2009
804,Ezequiel do Monte Correia Barragão,CDS-PP,2009
804,Margarida Maria Henriques Martins Mendes,PCP-PEV,2009
804,José Fernandes Estevens,PPD/PSD,2009
804,Manuel de Almeida Martins,PS,2009
805,João Carlos Pereira Peres Brandão,B.E.,2009
805,José Adriano Gago Vitorino,I,2009
805,António Manuel Dias Mendonça,PCP-PEV,2009
805,José Macário Custódio Correia,PPD/PSD.CDS-PP.MPT.PPM,2009
805,José Apolinário Nunes Portada,PS,2009
806,Anabela do Cabo Morais,B.E.,2009
806,Leonel Correia Granja,CDS-PP,2009
806,Victor Manuel Matos Carapinha,PCP-PEV,2009
806,José Inácio Marques Eduardo,PPD/PSD,2009
806,João Nuno Aurélio Marcos,PS,2009
807,Vera Maria de Freitas Faria Gonçalves,B.E.,2009
807,João Manuel Martins Evangelista,MPT,2009
807,Maria Brites Quintino da Silva Nunes Dias Alcobia,PCP-PEV,2009
807,Nuno Pedro dos Santos Borges Marques,PPD/PSD.CDS-PP,2009
807,Júlio José Monteiro Barroso,PS,2009
808,Joaquim Manuel Mealha Costa,B.E.,2009
808,Francisco José Contreiras Guerreiro,CDS-PP,2009
808,José Joaquim Dias Coelho,PCP-PEV,2009
808,Sebastião Francisco Seruca Emídio,PPD/PSD,2009
808,Joaquim Manuel dos Santos Vairinhos,PS,2009
809,Ana Paula Conceição Santos,CDS-PP,2009
809,José Matias da Conceição Francisco,PCP-PEV,2009
809,Rui Miguel da Silva André,PPD/PSD,2009
809,Carlos Alberto dos Santos Tuta,PS,2009
810,João Manuel Dias Pereira,B.E.,2009
810,José Marcelino Correia Castanheira,PCP-PEV,2009
810,António João Costa Gamboa,PCTP/MRPP,2009
810,Eduardo Abundio Martins de Sousa,PPD/PSD.CDS-PP.MPT.PPM,2009
810,Francisco José Fernandes Leal,PS,2009
811,João Manuel Duarte Vasconcelos,B.E.,2009
811,João Pedro Gonçalves Marques Caetano,CDS-PP,2009
811,Rui de Jesus Sacramento,PCP-PEV,2009
811,José da Conceição Dias dos Santos,PPD/PSD,2009
811,Manuel António da Luz,PS,2009
812,Cláudia Sofia Valente Brália Cavaco,CDS-PP,2009
812,Alberto Francisco do Espírito Santo Fernandes,PCP-PEV,2009
812,João Carlos de Mendonça D'Aragão e Moura,PPD/PSD,2009
812,António Paulo Jacinto Eusébio,PS,2009
813,Carlos Alberto Alexandre Cabrita,B.E.,2009
813,Rosa Cristina Gonçalves da Palma,PCP-PEV,2009
813,Maria Isabel Fernandes da Silva Soares,PPD/PSD,2009
813,Lisete de Jesus Neves Romão,PS,2009
814,Daniel Florêncio Viegas da Graça,B.E.,2009
814,João Afonso da Cunha Rêgo de Carvalho,CDS-PP,2009
814,Rodrigo Ferreira Aires,PCP-PEV,2009
814,Rui Manuel Palmilha Amaro,PPD/PSD,2009
814,Jorge Manuel do Nascimento Botelho,PS,2009
815,João Pedro Gonçalves Viegas Jacinto,MPT,2009
815,Jorge Alexandre São Pedro Ribeiro Gomes,PCP-PEV,2009
815,Gilberto Repolho dos Reis Viegas,PPD/PSD,2009
815,Adelino Augusto da Rocha Soares,PS,2009
815,José de Deus Vieira Rodrigues,VI,2009
816,António Tomás Rodrigues,B.E.,2009
816,Jorge Manuel dos Santos Pinto,CDS-PP,2009
816,Angelo Miguel Bandeira Barão,PCP-PEV,2009
816,Luís Filipe Soromenho Gomes,PPD/PSD,2009
816,Jovita de Fátima Romano Ladeira,PS,2009
